0.00128	0.00009
0.00034	0.00006
0.00046	-0.00049
0.00049	-0.00040
0.00104	-0.00003
0.00073	-0.00113
0.00113	-0.00043
0.00116	0.00015
0.00116	-0.00021
0.00140	-0.00058
0.00104	0.00092
0.00110	0.00024
0.00058	0.00046
0.00064	0.00034
0.00156	0.00006
0.00070	0.00012
0.00055	0.00049
0.00095	0.00110
0.00079	0.00070
0.00107	0.00049
0.00171	0.00128
0.00070	0.00067
0.00055	0.00031
0.00073	0.00058
0.00092	0.00046
0.00143	0.00064
0.00107	0.00000
0.00043	0.00101
0.00027	0.00085
0.00146	0.00153
0.00104	0.00116
0.00098	0.00067
0.00192	0.00049
0.00168	0.00089
0.00070	0.00082
0.00125	0.00061
0.00140	0.00101
0.00113	0.00116
0.00085	0.00098
0.00140	0.00006
0.00061	0.00125
0.00061	0.00143
0.00095	0.00107
0.00140	0.00089
0.00095	0.00079
0.00009	0.00128
0.00027	0.00043
0.00073	0.00095
0.00000	0.00082
-0.00040	0.00073
0.00052	0.00058
-0.00027	-0.00015
-0.00079	-0.00012
-0.00018	-0.00027
-0.00034	-0.00006
-0.00012	0.00034
0.00067	-0.00009
0.00040	0.00043
-0.00046	-0.00024
-0.00012	0.00018
-0.00024	0.00009
-0.00031	0.00052
-0.00049	0.00064
0.00006	0.00012
-0.00089	0.00049
-0.00113	0.00052
-0.00052	0.00021
-0.00049	0.00034
-0.00058	0.00079
-0.00085	0.00040
0.00000	0.00024
-0.00037	0.00024
-0.00009	0.00034
-0.00067	0.00000
0.00037	-0.00027
-0.00098	0.00021
-0.00021	-0.00128
-0.00073	-0.00101
-0.00174	-0.00046
-0.00073	-0.00146
-0.00122	-0.00046
-0.00104	-0.00119
-0.00125	-0.00034
-0.00061	-0.00073
-0.00043	-0.00076
-0.00003	-0.00079
-0.00064	-0.00104
-0.00104	-0.00046
-0.00040	-0.00146
-0.00180	-0.00082
-0.00183	-0.00125
-0.00128	-0.00131
-0.00104	-0.00092
-0.00177	-0.00043
-0.00113	-0.00159
-0.00192	-0.00189
-0.00131	-0.00174
-0.00134	-0.00177
-0.00177	-0.00253
-0.00256	-0.00171
-0.00122	-0.00183
-0.00089	-0.00146
-0.00122	-0.00073
-0.00067	-0.00113
-0.00119	-0.00162
-0.00101	-0.00003
-0.00143	-0.00006
-0.00092	-0.00070
-0.00162	-0.00064
-0.00119	-0.00128
-0.00027	-0.00092
-0.00082	-0.00156
-0.00195	-0.00113
-0.00208	-0.00116
-0.00223	-0.00165
-0.00189	-0.00168
-0.00165	-0.00131
-0.00101	-0.00204
-0.00150	-0.00214
-0.00174	-0.00101
-0.00143	-0.00131
-0.00052	-0.00177
-0.00140	-0.00235
-0.00116	-0.00174
-0.00113	-0.00186
-0.00201	-0.00247
-0.00235	-0.00201
-0.00159	-0.00131
-0.00098	-0.00162
0.00027	-0.00168
-0.00070	-0.00150
-0.00134	-0.00101
-0.00162	-0.00052
-0.00119	-0.00101
-0.00040	-0.00186
-0.00229	-0.00128
-0.00186	-0.00098
-0.00162	-0.00140
-0.00101	-0.00089
-0.00092	-0.00098
-0.00116	-0.00119
-0.00079	-0.00143
-0.00180	-0.00082
-0.00107	-0.00146
-0.00153	-0.00174
-0.00256	-0.00159
-0.00165	-0.00079
-0.00241	-0.00183
-0.00183	-0.00015
-0.00165	-0.00140
-0.00217	-0.00171
-0.00192	-0.00201
-0.00208	-0.00204
-0.00171	-0.00165
-0.00256	-0.00223
-0.00198	-0.00204
-0.00229	-0.00183
-0.00217	-0.00204
-0.00146	-0.00195
